"Schema","Criterion","DataGenerator","Doubler","Termination","BigOh"
"UnixUsage","ClauseAICC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","CondAICC","directedRandomDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"NistWeather","AUCC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","ClauseAICC","avs","DoubleChecksSemantic","success","CONSTANT"
"iTrust","ClauseAICC","randomDefaults","DoubleChecksSemantic","success","LINEAR"
"NistXTS749","APC","directedRandomDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"BioSQL","ICC","avsDefaults","DoubleChecksSemantic","success","CONSTANT"
"Cloc","NCC","directedRandom","DoubleAll","success","LINEARITHMIC"
"NistXTS749","ClauseAICC","avsDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"Cloc","CondAICC","directedRandom","DoubleColumns","success","LOGARITHMIC"
"RiskIt","ANCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"Cloc","CondAICC","randomDefaults","DoubleNotNullsSemantic","success","CONSTANT"
"NistXTS749","CondAICC","directedRandom","DoubleColumns","success","LINEARITHMIC"
"NistWeather","ICC","random","DoubleUniquesSemantic","success","CONSTANT"
"iTrust","APC","avs","DoubleNotNulls","success","CONSTANT"
"UnixUsage","ICC","randomDefaults","DoubleColumns","success","LINEARITHMIC"
"NistWeather","APC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"RiskIt","CondAICC","avsDefaults","DoubleNotNulls","success","CONSTANT"
"NistXTS749","NCC","random","DoubleUniquesSemantic","success","CONSTANT"
"UnixUsage","AICC","randomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"UnixUsage","ClauseAICC","randomDefaults","DoubleAll","success","LINEAR"
"Cloc","CondAICC","avsDefaults","DoubleColumns","success","LOGARITHMIC"
"JWhoisServer","AICC","random","DoubleUniquesSemantic","success","LOGARITHMIC"
"Cloc","APC","avs","DoubleAll","success","LINEARITHMIC"
"iTrust","AICC","directedRandomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS748","ICC","avsDefaults","DoubleForeignKeys","success","LINEARITHMIC"
"UnixUsage","CondAICC","randomDefaults","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","UCC","directedRandomDefaults","DoubleTables","timeout","QUADRADIC"
"NistWeather","AICC","random","DoubleNotNullsSemantic","success","LINEAR"
"iTrust","APC","directedRandom","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","AUCC","directedRandom","DoubleUniquesSemantic","success","LOGARITHMIC"
"JWhoisServer","APC","directedRandomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS749","NCC","random","DoubleColumns","out of memory","QUADRADIC"
"UnixUsage","AUCC","directedRandomDefaults","DoubleTablesColumns","success","LOGARITHMIC"
"NistXTS749","AUCC","randomDefaults","DoubleChecksSemantic","success","LINEARITHMIC"
"RiskIt","ClauseAICC","randomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS748","AICC","directedRandom","DoubleColumns","out of memory","LOGARITHMIC"
"NistXTS749","UCC","directedRandomDefaults","DoubleColumns","success","QUADRADIC"
"NistWeather","CondAICC","randomDefaults","DoubleChecksSemantic","success","LINEAR"
"iTrust","ClauseAICC","directedRandomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"iTrust","NCC","randomDefaults","DoubleAll","success","LOGARITHMIC"
"RiskIt","NCC","avs","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"UnixUsage","ICC","random","DoubleNotNullsSemantic","success","LINEAR"
"NistWeather","APC","randomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"UnixUsage","NCC","random","DoubleNotNulls","success","LOGARITHMIC"
"BioSQL","CondAICC","directedRandom","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","NCC","directedRandom","DoubleForeignKeys","success","CONSTANT"
"NistWeather","APC","random","DoubleChecksSemantic","out of memory","LINEAR"
"Cloc","ClauseAICC","directedRandom","DoubleTables","success","LOGARITHMIC"
"UnixUsage","ClauseAICC","avsDefaults","DoubleNotNulls","success","CONSTANT"
"UnixUsage","ANCC","directedRandom","DoubleNotNulls","success","CONSTANT"
"NistXTS749","ANCC","directedRandom","DoubleNotNulls","success","CONSTANT"
"NistXTS748","ANCC","directedRandomDefaults","DoubleChecksSemantic","success","LINEAR"
"NistXTS748","ANCC","random","DoubleTablesColumns","success","LOGARITHMIC"
"Cloc","NCC","avs","DoubleAll","success","LINEARITHMIC"
"iTrust","ANCC","avs","DoubleNotNulls","success","CONSTANT"
"Cloc","ICC","directedRandom","DoubleAll","success","LOGARITHMIC"
"NistXTS749","NCC","randomDefaults","DoubleColumns","success","QUADRADIC"
"NistWeather","AUCC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"NistXTS749","APC","randomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"Cloc","CondAICC","avs","DoubleTablesColumns","success","LOGARITHMIC"
"RiskIt","ICC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"iTrust","APC","avsDefaults","DoubleAll","timeout","QUADRADIC"
"NistXTS748","UCC","random","DoubleAll","success","LINEARITHMIC"
"Cloc","ClauseAICC","directedRandom","DoubleChecksSemantic","success","LOGARITHMIC"
"JWhoisServer","AICC","randomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistWeather","ICC","directedRandom","DoubleNotNulls","success","CONSTANT"
"RiskIt","AUCC","avsDefaults","DoubleTables","timeout","QUADRADIC"
"NistXTS748","NCC","random","DoubleTablesColumns","success","LINEARITHMIC"
"JWhoisServer","UCC","randomDefaults","DoubleForeignKeys","success","CONSTANT"
"NistXTS749","AICC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"Cloc","ICC","directedRandom","DoubleColumns","success","LOGARITHMIC"
"NistXTS749","ClauseAICC","avsDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"Cloc","AUCC","random","DoubleNotNullsSemantic","success","CONSTANT"
"JWhoisServer","AICC","avsDefaults","DoubleForeignKeys","success","LOGARITHMIC"
"Cloc","CondAICC","randomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"RiskIt","ANCC","avs","DoubleChecksSemantic","success","CONSTANT"
"NistWeather","CondAICC","random","DoubleAll","success","LINEAR"
"Cloc","AUCC","directedRandom","DoubleChecksSemantic","success","CONSTANT"
"NistXTS749","AUCC","randomDefaults","DoubleAll","success","LINEAR"
"iTrust","ICC","avs","DoubleChecksSemantic","success","LINEAR"
"JWhoisServer","CondAICC","avsDefaults","DoubleTablesColumns","success","QUADRADIC"
"Cloc","ICC","directedRandom","DoubleChecksSemantic","success","CONSTANT"
"NistXTS748","ICC","random","DoubleNotNullsSemantic","success","LINEARITHMIC"
"BioSQL","APC","randomDefaults","DoubleAll","success","LINEAR"
"iTrust","AICC","avs","DoubleUniquesSemantic","success","CONSTANT"
"NistWeather","UCC","random","DoubleColumns","out of memory","QUADRADIC"
"BioSQL","ClauseAICC","avsDefaults","DoubleAll","success","LINEAR"
"RiskIt","NCC","avsDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"Cloc","APC","randomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"NistXTS749","ClauseAICC","directedRandomDefaults","DoubleAll","success","LINEAR"
"RiskIt","APC","avsDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"JWhoisServer","ICC","random","DoubleNotNullsSemantic","success","LINEAR"
"JWhoisServer","AICC","avsDefaults","DoubleAll","success","LINEAR"
"NistWeather","ICC","directedRandom","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS748","AICC","randomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"JWhoisServer","APC","avsDefaults","DoubleNotNullsSemantic","success","LINEAR"
"NistXTS749","CondAICC","avs","DoubleTablesColumns","timeout","QUADRADIC"
"RiskIt","NCC","avs","DoubleColumns","out of memory","CUBIC"
"NistWeather","AUCC","directedRandomDefaults","DoubleAll","success","LINEARITHMIC"
"NistXTS748","ClauseAICC","random","DoubleUniquesSemantic","success","LINEAR"
"BioSQL","NCC","randomDefaults","DoubleUniquesSemantic","success","LINEAR"
"RiskIt","CondAICC","randomDefaults","DoubleTablesColumns","timeout","POWER 5"
"RiskIt","ClauseAICC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"UnixUsage","ClauseAICC","directedRandom","DoubleNotNulls","success","CONSTANT"
"NistXTS749","ClauseAICC","avs","DoubleAll","success","LINEARITHMIC"
"Cloc","ClauseAICC","randomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS749","NCC","randomDefaults","DoubleChecksSemantic","success","LINEARITHMIC"
"JWhoisServer","ANCC","directedRandom","DoubleTables","timeout","QUADRADIC"
"JWhoisServer","CondAICC","random","DoubleNotNullsSemantic","success","LOGARITHMIC"
"BioSQL","UCC","randomDefaults","DoubleColumns","out of memory","LINEAR"
"iTrust","ANCC","directedRandomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS749","ICC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"UnixUsage","UCC","avs","DoubleTables","success","QUADRADIC"
"NistXTS748","CondAICC","randomDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS748","ANCC","directedRandomDefaults","DoubleTables","timeout","QUADRADIC"
"NistXTS749","CondAICC","directedRandom","DoubleNotNulls","success","CONSTANT"
"NistXTS749","AICC","randomDefaults","DoubleTablesColumns","success","LOGARITHMIC"
"RiskIt","CondAICC","directedRandom","DoubleAll","success","QUADRADIC"
"JWhoisServer","CondAICC","directedRandomDefaults","DoubleForeignKeys","success","LOGARITHMIC"
"UnixUsage","AICC","randomDefaults","DoubleChecksSemantic","success","CONSTANT"
"NistXTS748","ClauseAICC","randomDefaults","DoubleTables","success","LOGARITHMIC"
"RiskIt","AICC","directedRandomDefaults","DoubleAll","success","LINEARITHMIC"
"NistXTS749","AUCC","directedRandom","DoubleNotNulls","success","LOGARITHMIC"
"iTrust","AICC","directedRandom","DoubleTablesColumns","timeout","QUADRADIC"
"RiskIt","NCC","randomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistWeather","ClauseAICC","directedRandom","DoubleAll","success","LINEARITHMIC"
"NistWeather","CondAICC","random","DoubleNotNulls","success","CONSTANT"
"UnixUsage","NCC","directedRandomDefaults","DoubleColumns","out of memory","QUADRADIC"
"BioSQL","ICC","directedRandomDefaults","DoubleAll","timeout","POWER 4"
"RiskIt","UCC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"iTrust","AUCC","avs","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","APC","avsDefaults","DoubleNotNulls","success","LOGARITHMIC"
"iTrust","AICC","avs","DoubleAll","success","LINEAR"
"UnixUsage","APC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS749","NCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"iTrust","AICC","directedRandomDefaults","DoubleColumns","success","LINEARITHMIC"
"iTrust","CondAICC","directedRandomDefaults","DoubleChecksSemantic","success","LINEAR"
"JWhoisServer","NCC","directedRandom","DoubleTablesColumns","success","LINEAR"
"BioSQL","AICC","avs","DoubleUniquesSemantic","success","LINEAR"
"Cloc","AUCC","avs","DoubleUniquesSemantic","success","LOGARITHMIC"
"NistXTS749","ANCC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"UnixUsage","AUCC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","ClauseAICC","avs","DoubleNotNulls","success","CONSTANT"
"NistXTS749","ClauseAICC","randomDefaults","DoubleTables","success","LINEARITHMIC"
"JWhoisServer","AUCC","directedRandom","DoubleNotNullsSemantic","success","LINEAR"
"iTrust","AUCC","directedRandom","DoubleNotNulls","success","CONSTANT"
"BioSQL","APC","random","DoubleTablesColumns","timeout","QUADRADIC"
"UnixUsage","UCC","randomDefaults","DoubleTables","success","LOGARITHMIC"
"iTrust","ICC","randomDefaults","DoubleNotNullsSemantic","success","LINEAR"
"iTrust","NCC","avsDefaults","DoubleForeignKeys","KILLED","QUADRADIC"
"NistWeather","AUCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"Cloc","CondAICC","random","DoubleNotNulls","success","CONSTANT"
"NistWeather","UCC","random","DoubleTablesColumns","success","LINEARITHMIC"
"RiskIt","ANCC","avsDefaults","DoubleTables","timeout","QUADRADIC"
"BioSQL","UCC","randomDefaults","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","ANCC","random","DoubleColumns","out of memory","QUADRADIC"
"NistXTS749","CondAICC","random","DoubleTablesColumns","success","LOGARITHMIC"
"NistXTS748","APC","avsDefaults","DoubleTables","success","LINEARITHMIC"
"NistWeather","ClauseAICC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistWeather","NCC","avs","DoubleNotNullsSemantic","success","LINEARITHMIC"
"JWhoisServer","ClauseAICC","random","DoubleChecksSemantic","success","CONSTANT"
"Cloc","AICC","randomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"iTrust","AICC","random","DoubleNotNullsSemantic","success","LINEAR"
"Cloc","ClauseAICC","avsDefaults","DoubleNotNulls","success","CONSTANT"
"NistXTS748","ClauseAICC","randomDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"Cloc","UCC","directedRandomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"NistXTS749","NCC","randomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"JWhoisServer","ANCC","directedRandomDefaults","DoubleTables","timeout","QUADRADIC"
"UnixUsage","ANCC","directedRandom","DoubleColumns","out of memory","QUADRADIC"
"Cloc","ICC","directedRandom","DoubleTablesColumns","success","LOGARITHMIC"
"NistXTS748","APC","avs","DoubleTablesColumns","success","LINEARITHMIC"
"UnixUsage","ANCC","directedRandom","DoubleChecksSemantic","success","CONSTANT"
"NistXTS749","APC","random","DoubleChecksSemantic","success","LOGARITHMIC"
"Cloc","CondAICC","randomDefaults","DoubleAll","success","LINEARITHMIC"
"iTrust","CondAICC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"RiskIt","UCC","directedRandom","DoubleNotNulls","success","LINEARITHMIC"
"NistXTS749","AUCC","random","DoubleChecksSemantic","success","LINEAR"
"RiskIt","APC","avsDefaults","DoubleTables","success","LINEARITHMIC"
"RiskIt","AUCC","avsDefaults","DoubleChecksSemantic","success","CONSTANT"
"NistXTS749","AUCC","avs","DoubleColumns","timeout","CUBIC"
"JWhoisServer","AICC","avsDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"NistXTS749","CondAICC","directedRandomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"RiskIt","NCC","avs","DoubleTablesColumns","success","LINEARITHMIC"
"Cloc","ICC","avsDefaults","DoubleForeignKeys","success","CONSTANT"
"JWhoisServer","NCC","randomDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"JWhoisServer","ClauseAICC","directedRandomDefaults","DoubleColumns","success","LINEARITHMIC"
"NistXTS748","CondAICC","random","DoubleColumns","success","LINEAR"
"NistXTS749","CondAICC","directedRandom","DoubleChecksSemantic","success","LINEAR"
"iTrust","ANCC","randomDefaults","DoubleColumns","timeout","QUADRADIC"
"RiskIt","UCC","directedRandom","DoubleAll","success","QUADRADIC"
"iTrust","AUCC","directedRandom","DoubleAll","success","LINEARITHMIC"
"BioSQL","AUCC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS749","NCC","directedRandom","DoubleTablesColumns","success","QUADRADIC"
"JWhoisServer","ICC","directedRandomDefaults","DoubleColumns","success","LINEAR"
"NistXTS749","ClauseAICC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"Cloc","UCC","random","DoubleNotNullsSemantic","success","CONSTANT"
"UnixUsage","AICC","directedRandom","DoubleNotNulls","success","CONSTANT"
"BioSQL","CondAICC","directedRandom","DoubleColumns","success","LINEARITHMIC"
"BioSQL","NCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"NistXTS748","ClauseAICC","directedRandomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"iTrust","ICC","directedRandom","DoubleTablesColumns","timeout","LINEARITHMIC"
"NistWeather","NCC","avsDefaults","DoubleNotNullsSemantic","out of memory","LINEARITHMIC"
"BioSQL","CondAICC","avsDefaults","DoubleUniquesSemantic","success","LINEAR"
"NistWeather","ICC","avsDefaults","DoubleChecksSemantic","success","LINEAR"
"BioSQL","UCC","random","DoubleColumns","out of memory","LINEARITHMIC"
"NistXTS749","ANCC","directedRandomDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"JWhoisServer","APC","directedRandom","DoubleAll","success","LOGARITHMIC"
"NistXTS749","ClauseAICC","randomDefaults","DoubleChecksSemantic","success","LINEAR"
"BioSQL","ANCC","random","DoubleColumns","timeout","QUADRADIC"
"NistXTS749","NCC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS748","NCC","avs","DoubleChecksSemantic","success","LINEAR"
"iTrust","NCC","random","DoubleAll","success","LINEARITHMIC"
"UnixUsage","ANCC","directedRandomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"NistWeather","ICC","avs","DoubleAll","timeout","QUADRADIC"
"NistXTS749","AICC","random","DoubleAll","success","LINEARITHMIC"
"BioSQL","AUCC","avsDefaults","DoubleTablesColumns","timeout","POWER 4"
"UnixUsage","APC","random","DoubleAll","success","LINEAR"
"BioSQL","AICC","random","DoubleAll","success","LINEAR"
"BioSQL","ClauseAICC","avs","DoubleNotNulls","success","CONSTANT"
"UnixUsage","CondAICC","avs","DoubleNotNullsSemantic","success","LINEAR"
"NistXTS749","CondAICC","directedRandom","DoubleAll","success","LINEAR"
"JWhoisServer","ICC","directedRandomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"RiskIt","APC","directedRandom","DoubleNotNullsSemantic","success","LINEARITHMIC"
"NistXTS749","ANCC","directedRandom","DoubleTables","timeout","QUADRADIC"
"BioSQL","AUCC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"iTrust","APC","avsDefaults","DoubleChecksSemantic","success","LINEAR"
"NistXTS749","ANCC","randomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistWeather","UCC","directedRandomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"JWhoisServer","UCC","directedRandomDefaults","DoubleForeignKeys","success","CONSTANT"
"UnixUsage","APC","random","DoubleNotNulls","success","CONSTANT"
"Cloc","ClauseAICC","avs","DoubleNotNullsSemantic","success","QUADRADIC"
"BioSQL","ClauseAICC","random","DoubleNotNullsSemantic","success","LINEAR"
"NistXTS749","UCC","random","DoubleNotNullsSemantic","success","LINEARITHMIC"
"Cloc","ICC","avs","DoubleNotNulls","success","CONSTANT"
"NistXTS749","ClauseAICC","avsDefaults","DoubleColumns","success","LINEARITHMIC"
"Cloc","UCC","directedRandomDefaults","DoubleTables","success","QUADRADIC"
"UnixUsage","APC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"NistXTS748","CondAICC","avs","DoubleTables","success","QUADRADIC"
"NistXTS748","AUCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"BioSQL","NCC","randomDefaults","DoubleChecksSemantic","success","CONSTANT"
"NistWeather","NCC","random","DoubleChecksSemantic","success","LINEARITHMIC"
"NistXTS748","APC","randomDefaults","DoubleTables","success","LINEARITHMIC"
"BioSQL","ICC","random","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","NCC","random","DoubleForeignKeys","success","CONSTANT"
"RiskIt","ANCC","directedRandom","DoubleAll","timeout","CUBIC"
"NistXTS749","AICC","random","DoubleColumns","success","LINEARITHMIC"
"UnixUsage","AICC","random","DoubleUniquesSemantic","success","CONSTANT"
"JWhoisServer","ANCC","avs","DoubleForeignKeys","success","CONSTANT"
"BioSQL","AICC","avsDefaults","DoubleAll","success","LINEAR"
"BioSQL","UCC","directedRandom","DoubleAll","success","QUADRADIC"
"BioSQL","ANCC","avsDefaults","DoubleColumns","timeout","CUBIC"
"iTrust","ClauseAICC","avs","DoubleAll","success","LINEAR"
"NistWeather","NCC","randomDefaults","DoubleChecksSemantic","success","LINEAR"
"UnixUsage","UCC","avs","DoubleUniquesSemantic","success","LOGARITHMIC"
"iTrust","ClauseAICC","directedRandom","DoubleColumns","success","LINEARITHMIC"
"NistXTS748","CondAICC","directedRandom","DoubleForeignKeys","success","CONSTANT"
"BioSQL","ICC","directedRandom","DoubleAll","success","QUADRADIC"
"Cloc","CondAICC","directedRandom","DoubleTablesColumns","success","LOGARITHMIC"
"NistXTS748","UCC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"UnixUsage","APC","avs","DoubleColumns","success","LINEARITHMIC"
"JWhoisServer","APC","randomDefaults","DoubleForeignKeys","success","LOGARITHMIC"
"NistXTS749","ANCC","avs","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistWeather","NCC","directedRandomDefaults","DoubleAll","success","LINEARITHMIC"
"NistXTS748","APC","randomDefaults","DoubleUniquesSemantic","success","LINEARITHMIC"
"NistXTS749","ANCC","avs","DoubleChecksSemantic","success","LINEARITHMIC"
"NistWeather","AUCC","directedRandom","DoubleAll","success","LINEARITHMIC"
"NistWeather","NCC","randomDefaults","DoubleTables","success","QUADRADIC"
"NistWeather","ANCC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","NCC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"UnixUsage","ANCC","random","DoubleTables","timeout","QUADRADIC"
"NistXTS748","AICC","random","DoubleTablesColumns","success","LOGARITHMIC"
"NistWeather","AICC","avs","DoubleNotNullsSemantic","success","LINEARITHMIC"
"NistXTS749","UCC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"NistWeather","AICC","randomDefaults","DoubleChecksSemantic","success","LINEARITHMIC"
"UnixUsage","AICC","avsDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"NistXTS749","APC","avsDefaults","DoubleTables","success","LOGARITHMIC"
"NistXTS748","AICC","random","DoubleUniquesSemantic","success","LINEAR"
"UnixUsage","ANCC","random","DoubleNotNullsSemantic","success","LOGARITHMIC"
"NistWeather","ICC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"BioSQL","AUCC","random","DoubleAll","success","LINEAR"
"UnixUsage","ClauseAICC","randomDefaults","DoubleTables","timeout","QUADRADIC"
"RiskIt","AICC","random","DoubleColumns","success","LINEARITHMIC"
"NistWeather","AICC","directedRandom","DoubleColumns","success","LOGARITHMIC"
"Cloc","AUCC","random","DoubleAll","success","LINEAR"
"NistWeather","ANCC","randomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS749","ClauseAICC","avsDefaults","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","NCC","randomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"iTrust","AICC","random","DoubleColumns","success","LINEARITHMIC"
"NistWeather","ClauseAICC","avsDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS749","ANCC","avs","DoubleUniquesSemantic","success","CONSTANT"
"iTrust","CondAICC","directedRandom","DoubleAll","success","LINEAR"
"RiskIt","AUCC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"Cloc","UCC","avsDefaults","DoubleUniquesSemantic","success","CONSTANT"
"JWhoisServer","ANCC","avs","DoubleUniquesSemantic","success","LOGARITHMIC"
"RiskIt","ClauseAICC","directedRandom","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS748","ClauseAICC","avs","DoubleTables","timeout","QUADRADIC"
"UnixUsage","ClauseAICC","avsDefaults","DoubleNotNullsSemantic","success","LINEAR"
"Cloc","UCC","avs","DoubleChecksSemantic","success","LOGARITHMIC"
"RiskIt","ClauseAICC","avs","DoubleTables","timeout","QUADRADIC"
"NistXTS748","ClauseAICC","avs","DoubleNotNullsSemantic","success","LOGARITHMIC"
"NistXTS748","ANCC","random","DoubleForeignKeys","success","CONSTANT"
"NistXTS748","UCC","avsDefaults","DoubleColumns","success","LINEARITHMIC"
"NistXTS748","ClauseAICC","directedRandomDefaults","DoubleUniquesSemantic","success","LINEARITHMIC"
"JWhoisServer","AUCC","randomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"NistXTS749","ClauseAICC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS748","CondAICC","random","DoubleUniquesSemantic","success","LINEAR"
"RiskIt","ClauseAICC","directedRandomDefaults","DoubleAll","success","LINEAR"
"NistXTS749","UCC","avsDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"Cloc","APC","directedRandom","DoubleForeignKeys","success","LOGARITHMIC"
"NistXTS749","NCC","avsDefaults","DoubleNotNulls","success","CONSTANT"
"iTrust","AUCC","directedRandomDefaults","DoubleChecksSemantic","out of memory","CUBIC"
"NistXTS749","APC","avs","DoubleColumns","success","LOGARITHMIC"
"RiskIt","AUCC","random","DoubleUniquesSemantic","success","CONSTANT"
"RiskIt","CondAICC","random","DoubleNotNulls","success","CONSTANT"
"UnixUsage","ClauseAICC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"Cloc","ANCC","random","DoubleTables","success","QUADRADIC"
"RiskIt","ClauseAICC","random","DoubleChecksSemantic","success","CONSTANT"
"NistXTS749","NCC","randomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"Cloc","ANCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"NistXTS748","UCC","avs","DoubleUniquesSemantic","success","LINEAR"
"JWhoisServer","APC","directedRandom","DoubleTables","success","QUADRADIC"
"NistXTS748","AUCC","randomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"JWhoisServer","APC","randomDefaults","DoubleTables","success","QUADRADIC"
"BioSQL","AUCC","avsDefaults","DoubleColumns","timeout","QUADRADIC"
"iTrust","ClauseAICC","directedRandomDefaults","DoubleChecksSemantic","success","LINEARITHMIC"
"NistXTS749","ANCC","avs","DoubleColumns","timeout","CUBIC"
"NistWeather","APC","directedRandom","DoubleNotNullsSemantic","success","LINEAR"
"NistWeather","UCC","avsDefaults","DoubleColumns","timeout","CUBIC"
"iTrust","APC","avsDefaults","DoubleTables","success","QUADRADIC"
"JWhoisServer","ICC","avs","DoubleTablesColumns","timeout","QUADRADIC"
"NistWeather","APC","random","DoubleAll","success","LINEAR"
"NistXTS748","NCC","random","DoubleChecksSemantic","success","LOGARITHMIC"
"iTrust","NCC","random","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS749","NCC","avsDefaults","DoubleTablesColumns","success","CUBIC"
"BioSQL","UCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"iTrust","ANCC","avs","DoubleNotNullsSemantic","success","LOGARITHMIC"
"NistWeather","AUCC","random","DoubleTables","timeout","QUADRADIC"
"UnixUsage","AUCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"iTrust","UCC","randomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"Cloc","ANCC","avs","DoubleChecksSemantic","success","LOGARITHMIC"
"UnixUsage","AICC","avs","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS749","ClauseAICC","directedRandom","DoubleColumns","success","LINEARITHMIC"
"RiskIt","ICC","directedRandom","DoubleUniquesSemantic","success","CONSTANT"
"iTrust","UCC","avs","DoubleChecksSemantic","out of memory","LINEARITHMIC"
