"Schema","Criterion","DataGenerator","Doubler","Termination","BigOh"
"NistXTS749","ClauseAICC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"UnixUsage","AICC","directedRandomDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"JWhoisServer","AICC","avsDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"JWhoisServer","AUCC","directedRandom","DoubleForeignKeys","success","CONSTANT"
"NistXTS749","ANCC","directedRandom","DoubleColumns","out of memory","LOGARITHMIC"
"iTrust","CondAICC","avsDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS748","ICC","directedRandomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"BioSQL","ICC","avs","DoubleAll","success","LINEARITHMIC"
"RiskIt","ANCC","avsDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS749","AICC","directedRandom","DoubleNotNullsSemantic","success","LOGARITHMIC"
"BioSQL","ClauseAICC","avs","DoubleTables","timeout","CUBIC"
"UnixUsage","UCC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"BioSQL","ClauseAICC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"Cloc","CondAICC","directedRandomDefaults","DoubleAll","success","LINEARITHMIC"
"iTrust","CondAICC","randomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS749","UCC","directedRandom","DoubleTables","timeout","QUADRADIC"
"NistWeather","ANCC","avsDefaults","DoubleNotNulls","success","CONSTANT"
"UnixUsage","ClauseAICC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","UCC","directedRandom","DoubleAll","success","QUADRADIC"
"JWhoisServer","NCC","avs","DoubleTables","success","QUADRADIC"
"RiskIt","AICC","random","DoubleTables","timeout","POWER 6"
"JWhoisServer","ClauseAICC","random","DoubleTables","success","LOGARITHMIC"
"NistXTS748","CondAICC","directedRandomDefaults","DoubleTables","timeout","QUADRADIC"
"NistWeather","ClauseAICC","avs","DoubleAll","success","LINEARITHMIC"
"NistXTS748","AICC","directedRandomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"RiskIt","ICC","random","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","AICC","avs","DoubleNotNulls","success","LOGARITHMIC"
"NistWeather","ICC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"RiskIt","AUCC","randomDefaults","DoubleAll","success","LINEAR"
"JWhoisServer","AICC","randomDefaults","DoubleAll","success","LINEARITHMIC"
"Cloc","APC","randomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"Cloc","ClauseAICC","randomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"NistWeather","NCC","random","DoubleAll","success","LINEARITHMIC"
"RiskIt","APC","avsDefaults","DoubleNotNulls","success","LOGARITHMIC"
"NistXTS748","AICC","avsDefaults","DoubleForeignKeys","success","CONSTANT"
"Cloc","CondAICC","avs","DoubleColumns","success","LOGARITHMIC"
"NistXTS749","ICC","random","DoubleColumns","success","LINEARITHMIC"
"JWhoisServer","CondAICC","directedRandomDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"RiskIt","CondAICC","random","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","NCC","directedRandomDefaults","DoubleAll","success","LINEARITHMIC"
"JWhoisServer","UCC","directedRandomDefaults","DoubleChecksSemantic","success","CONSTANT"
"iTrust","ICC","randomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"Cloc","CondAICC","random","DoubleAll","success","LINEARITHMIC"
"BioSQL","ANCC","random","DoubleNotNullsSemantic","out of memory","LOGARITHMIC"
"JWhoisServer","NCC","directedRandom","DoubleUniquesSemantic","success","LOGARITHMIC"
"Cloc","AUCC","avsDefaults","DoubleAll","success","LINEARITHMIC"
"Cloc","AICC","directedRandomDefaults","DoubleNotNullsSemantic","success","CONSTANT"
"JWhoisServer","ICC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEAR"
